timestamp,workers,events_requested,events_accepted,events_rejected,total_elapsed_s,throughput_events_per_sec,avg_latency_ms,p95_latency_bucket_s
2026-08-22T22:42:34,1,5000,5000,0,4.345,1150.62,0.5891,0.001
2026-08-22T22:44:06,2,5000,5000,0,2.323,2152.85,0.5468,0.001
2026-08-22T22:45:29,4,5000,5000,0,1.517,3295.95,0.4998,0.001
2026-08-22T22:45:47,4,5000,5000,0,1.569,3186.37,0.526,0.001
2026-08-22T22:46:15,4,5000,5000,0,1.34,3730.15,0.5137,0.001
2026-08-22T22:47:09,8,5000,5000,0,1.162,4304.2,0.5107,0.001
2026-09-02T15:30:33,4,500000,500000,0,100.08,4995.99,0.5274,0.001
2026-09-02T17:04:31,4,500000,500000,0,96.491,5181.85,0.6373,0.005
2026-09-02T17:04:31,4,500000,496703,3297,375.317,1323.42,0.6373,0.005
2026-09-02T17:32:30,8,500000,500000,0,155.357,3218.4,0.909,0.005
